,code
930,601226
931,601225
932,601222
933,601218
934,601216
935,601212
936,601211
937,601208
938,601200
939,601199
940,601198
941,601188
942,601187
943,601186
944,601179
945,601177
946,601169
947,601168
948,601166
949,601163
950,601162
951,601158
952,601155
953,601139
954,601138
955,601137
956,601128
957,601127
958,601126
959,601118
960,601117
961,601116
962,601113
963,601111
964,601108
965,601107
966,601106
967,601101
968,601100
969,601099
970,601098
971,601088
972,601086
973,601077
974,601069
975,601068
976,601066
977,601058
978,601038
979,601028
980,601021
981,601020
982,601019
983,601018
984,601016
985,601015
986,601012
987,601011
988,601010
989,601009
990,601008
991,601007
992,601006
993,601005
994,601003
995,601002
996,601001
997,601000
998,600999
999,600998
1000,600997
1001,600996
1002,600995
1003,600993
1004,600992
1005,600990
1006,600989
1007,600988
1008,600987
1009,600986
1010,600985
1011,600984
1012,600983
1013,600982
1014,600981
1015,600980
1016,600979
1017,600978
1018,600977
1019,600976
1020,600975
1021,600973
1022,600971
1023,600970
1024,600969
1025,600968
1026,600967
1027,600966
1028,600965
1029,600963
1030,600962
1031,600961
1032,600960
1033,600959
1034,600958
1035,600956
1036,600939
1037,600936
1038,600933
1039,600929
1040,600928
1041,600926
1042,600919
1043,600918
1044,600917
1045,600909
1046,600908
1047,600903
1048,600901
1049,600900
1050,600898
1051,600897
1052,600896
1053,600895
1054,600894
1055,600893
1056,600892
1057,600891
1058,600890
1059,600889
1060,600888
1061,600887
1062,600886
1063,600885
1064,600884
1065,600883
1066,600882
1067,600881
1068,600880
1069,600879
1070,600877
1071,600876
1072,600875
1073,600874
1074,600873
1075,600872
1076,600871
1077,600870
1078,600869
1079,600868
1080,600867
1081,600866
1082,600865
1083,600864
1084,600863
1085,600862
1086,600861
1087,600860
1088,600859
1089,600858
1090,600857
1091,600856
1092,600855
1093,600854
1094,600853
1095,600851
1096,600850
1097,600848
1098,600847
1099,600846
1100,600845
1101,600844
1102,600843
1103,600841
1104,600839
1105,600838
1106,600837
1107,600836
1108,600835
1109,600834
1110,600833
1111,600831
1112,600830
1113,600829
1114,600828
1115,600827
1116,600826
1117,600825
1118,600824
1119,600823
1120,600822
1121,600821
1122,600820
1123,600819
1124,600818
1125,600817
1126,600816
1127,600815
1128,600814
1129,600812
1130,600811
1131,600810
1132,600809
1133,600808
1134,600807
1135,600805
1136,600804
1137,600803
1138,600802
1139,600801
1140,600800
1141,600798
1142,600797
1143,600796
1144,600795
1145,600794
1146,600793
1147,600792
1148,600791
1149,600790
1150,600789
1151,600787
1152,600785
1153,600784
1154,600783
1155,600782
1156,600781
1157,600780
1158,600779
1159,600778
1160,600777
1161,600776
1162,600775
1163,600774
1164,600773
1165,600771
1166,600770
1167,600769
1168,600768
1169,600767
1170,600766
1171,600765
1172,600764
1173,600763
1174,600761
1175,600760
1176,600759
1177,600758
1178,600757
1179,600756
1180,600755
1181,600754
1182,600753
1183,600751
1184,600750
1185,600749
1186,600748
1187,600746
1188,600745
1189,600744
1190,600743
1191,600742
1192,600741
1193,600740
1194,600739
1195,600738
1196,600737
1197,600736
1198,600735
1199,600734
1200,600733
1201,600732
1202,600731
1203,600730
1204,600729
1205,600728
1206,600727
1207,600726
1208,600725
1209,600724
1210,600723
1211,600722
1212,600721
1213,600720
1214,600719
1215,600718
1216,600717
1217,600716
1218,600715
1219,600714
1220,600713
1221,600712
1222,600711
1223,600710
1224,600708
1225,600707
1226,600706
1227,600705
1228,600704
1229,600703
